character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
蚧,,,jiè,"a red spotted lizard, used as medicine",,5153
餍,饜,饜,yàn,,,5154
谯,譙,譙,qiáo,tower; surname,,5155
芗,薌,薌,xiāng,fragrant smell of grain; aromatic,,5156
菸,,,yān,to fade; withered or dried leaves; tobacco (used for,,5157
葩,,,pā,flowers,,5158
踔,,,chuō,to get ahead; to stride; to excel,,5159
厣,厴,厴,yǎn,shell,,5160
佻,,,tiāo,frivolous; unsteady; delay,,5161
嘌,,,piào,"fast, speedy",,5162
饩,餼,餼,xì,sacrficial victim; gift; grain,,5163
钏,釧,釧,chuàn,"bracelet, armlet",,5164
蠓,,,měng,midges; sandflies,,5165
黩,黷,黷,dú,"to dishonor, defile, corrupt; soiled",,5166
倨,,,jù,"arrogant, haughty, rude",,5167
腸,,,cháng,intestines; emotions; sausage,,5168
缬,纈,纈,xié,patterned silk; tie knot,,5169
殚,殫,殫,dān,"utmost, entirely, quite; use up",,5170
钿,鈿,鈿,diàn,"hairpin; gold inlaid work, filigree",,5171
鎏,,,liú,pure gold,,5172
恁,,,nèn,"that, like this, thus, so, such",,5173
藿,,,huò,"lophanthus rugosus, betony",,5174
囟,,,xìn,top of the head; skull,,5175
鄣,,,zhāng,"name of an ancient city in N. Jiangsu, near Shandong",,5176
呋,,,fū,,,5177
婺,,,wù,name of a star,,5178
绱,鞝,鞝,shàng,the piece of leather used for soles on Chinese shoes; a patch,,5179
瓯,甌,甌,ōu,"bowl, cup; small tray",,5180
旃,,,zhān,silk banner with bent pole,,5181
锶,鍶,鍶,sī,strontium,,5182
酩,,,mǐng,drunk; intoxicated; tipsy,,5183
恹,懨,懨,yān,"feeble, sickly; tranquil, calm",,5184
逶,,,wēi,"winding, curving; swagger",,5185
缦,縵,縵,màn,"plain silk; simple, plain",,5186
鸹,鴰,鴰,guā,the crow,,5187
螟,,,míng,"kind of caterpillar, larva",,5188
菟,,,tú,dodder; creeper,,5189
阗,闐,闐,tián,a place in Xinjiang province,,5190
濉,,,suī,,,5191
篑,簣,簣,kuì,a bamboo basket for carrying earth,,5192
醪,,,láo,"unclear wine, wine with dregs",,5193
鲛,鮫,鮫,jiāo,shark,,5194
讦,訐,訐,jié,,,5195
媪,媼,媼,ǎo,old woman; lower-class woman,,5196
邬,鄔,鄔,wū,various place names; surname,,5197
殇,殤,殤,shāng,die young; national mourning,,5198
鄯,,,shàn,district in Gansu during the Tang dynasty,,5199
芡,,,qiàn,plant allied to the waterlily,,5200
嫠,,,lí,a widow,,5201
肼,,,jǐng,hydrazine,,5202
峤,嶠,嶠,jiào,high pointed mountain,,5203
矽,,,xì,silicon,,5204
讧,訌,訌,hòng,confusion; internal strife,,5205
掼,摜,摜,guàn,"throw ground; know, be familiar",,5206
焖,燜,燜,mèn,"simmer, cook over slow fire",,5207
愆,,,qiān,"a fault, mistake, error, transgression",,5208
聩,聵,聵,kuì,deaf,,5209
岘,峴,峴,xiàn,steep hill; mountain in Hubei,,5210
靛,,,diàn,indigo; any blue dye,,5211
菖,,,chāng,"iris, sweet flag, calamus",,5212
卟,,,bǔ,a chemical compound; divination; to consider,,5213
姒,,,sì,wife of elder brother,,5214
杷,,,pá,loquat,,5215
砉,,,huò,,,5216
袢,,,pàn,robe,,5217
蚋,,,ruì,"gnat, mosquito",,5218
笳,,,jiā,a reed leaf whistle,,5219
挈,,,qiè,"assist, help, lead by hand",,5220
關,,,guān,frontier pass; close; relation,,5221
踽,,,jǔ,to walk alone; self-reliant,,5222
黾,黽,黽,miǎn,to strive; to endeavor,,5223
麼,,,me,"interrogative final particle; insignificant, small, tiny",,5224
侩,儈,儈,kuài,"go-between, broker, proxy",,5225
